Cod_gps;Fecha;CFR;GEAR;fec_cal;ini_largada;fin_largada;fec_vir;ini_virada;fin_virada;codigo
0A70;2023-07-07;ESP000023290;GTR1;2023-07-07;;;2023-07-07;7:10;11:30;ESP000023290_07072023_21072023_B
0A70;2023-07-10;ESP000023290;GTR1;2023-07-10;5:15;6:30;2023-07-10;7:30;12:30;ESP000023290_07072023_21072023_B
0A70;2023-07-11;ESP000023290;GTR1;2023-07-11;5:30;6:15;2023-07-11;7:15;12:00;ESP000023290_07072023_21072023_B
0A70;2023-07-12;ESP000023290;GTR1;2023-07-12;5:00;6:10;2023-07-12;7:15;12:40;ESP000023290_07072023_21072023_B
0A70;2023-07-13;ESP000023290;GTR1;2023-07-13;5:10;6:00;2023-07-13;7:15;10:00;ESP000023290_07072023_21072023_B
0A70;2023-07-14;ESP000023290;GTR1;2023-07-14;5:10;6:05;2023-07-14;7:10;10:50;ESP000023290_07072023_21072023_B
0A70;2023-07-17;ESP000023290;GTR1;2023-07-17;5:30;6:40;2023-07-17;7:15;11:20;ESP000023290_07072023_21072023_B
0A70;2023-07-18;ESP000023290;GTR1;2023-07-18;5:10;6:10;2023-07-18;7:30;12:30;ESP000023290_07072023_21072023_B
0A70;2023-07-19;ESP000023290;GTR1;2023-07-19;5:20;6:25;2023-07-19;7:30;11:30;ESP000023290_07072023_21072023_B
0A70;2023-07-20;ESP000023290;GTR1;2023-07-20;5:30;6:35;2023-07-20;7:30;11:30;ESP000023290_07072023_21072023_B
0A70;2023-07-21;ESP000023290;GTR1;2023-07-21;5:35;6:15;2023-07-21;7:45;9:45;ESP000023290_07072023_21072023_B
0A6E;2023-07-25;ESP000023387;GTR1;2023-07-25;4:30;;2023-07-25;7:30;9:50;ESP000023387_25072023_03082023_B
0A6E;2023-07-27;ESP000023387;GTR1;2023-07-27;5:30;7:00;2023-07-27;8:00;9:45;ESP000023387_25072023_03082023_B
0A6E;2023-07-31;ESP000023387;GTR1;2023-07-31;5:30;7:00;2023-07-31;8:00;10:30;ESP000023387_25072023_03082023_B
0A6E;2023-08-01;ESP000023387;GTR1;2023-08-01;5:30;7:00;2023-08-01;7:30;10:30;ESP000023387_25072023_03082023_B
0A6E;2023-08-02;ESP000023387;GTR1;2023-08-02;6:00;7:30;2023-08-02;7:45;9:30;ESP000023387_25072023_03082023_B
0A6E;2023-08-03;ESP000023387;GTR1;2023-08-03;5:30;6:15;2023-08-03;8:30;10:15;ESP000023387_25072023_03082023_B
0C9D;2023-07-31;ESP000023386;GTR1;2023-07-31;4:45;5:45;2023-07-31;6:00;10:30;ESP000023386_31072023_02082023_B
0C9D;2023-08-01;ESP000023386;GTR1;2023-08-01;5:00;6:00;2023-08-01;7:30;9:10;ESP000023386_31072023_02082023_B
0C9D;2023-08-02;ESP000023386;GTR1;2023-08-02;5:00;6:00;2023-08-02;7:20;11:00;ESP000023386_31072023_02082023_B
0DFB;2023-07-25;ESP000026209;GTR1;2023-07-25;5:00;6:00;2023-07-25;7:00;11:00;ESP000026209_25072023_03082023_B
0DFB;2023-07-26;ESP000026209;GTR1;2023-07-26;5:20;6:00;2023-07-26;7:20;9:00;ESP000026209_25072023_03082023_B
0DFB;2023-07-27;ESP000026209;GTR1;2023-07-27;5:40;6:15;2023-07-27;7:30;9:00;ESP000026209_25072023_03082023_B
0DFB;2023-07-29;ESP000026209;GTR1;2023-07-29;5:00;6:00;2023-07-29;7:30;10:30;ESP000026209_25072023_03082023_B
0DFB;2023-07-31;ESP000026209;GTR1;2023-07-31;4:45;7:00;2023-07-31;8:20;12:00;ESP000026209_25072023_03082023_B
0DFB;2023-08-01;ESP000026209;GTR1;2023-08-01;5:30;6:20;2023-08-01;6:45;10:00;ESP000026209_25072023_03082023_B
0DFB;2023-08-02;ESP000026209;GTR1;2023-08-02;5:30;6:20;2023-08-02;7:20;9:20;ESP000026209_25072023_03082023_B
0DFB;2023-08-03;ESP000026209;GTR1;2023-08-03;5:30;6:10;2023-08-03;7:15;9:00;ESP000026209_25072023_03082023_B
0A60;2023-07-31;ESP000025479;GTR1;2023-07-31;5:30;6:00;2023-07-31;6:00;9:00;ESP000025479_31072023_07082023_B
0A60;2023-08-01;ESP000025479;GTR1;2023-08-01;5:00;5:30;2023-08-01;8:30;9:30;ESP000025479_31072023_07082023_B
0A60;2023-08-02;ESP000025479;GTR1;2023-08-02;5:00;5:30;2023-08-02;9:20;10:20;ESP000025479_31072023_07082023_B
0A60;2023-08-03;ESP000025479;GTR1;2023-08-03;5:30;6:00;2023-08-03;7:30;8:30;ESP000025479_31072023_07082023_B
0A60;2023-08-07;ESP000025479;GTR1;2023-08-07;5:30;6:00;2023-08-07;8:00;9:00;ESP000025479_31072023_07082023_B
0A42;2023-07-30;ESP000022251;GTR6;2023-07-30;9:20;9:40;2023-07-31;6:50;9:00;ESP000022251_30072023_03082023_B
0A42;2023-07-31;ESP000022251;GTR1;2023-07-31;5:45;6:00;2023-07-31;10:00;11:30;ESP000022251_30072023_03082023_B
0A42;2023-07-31;ESP000022251;GTR6;2023-07-31;9:00;9:20;2023-08-01;6:10;8:15;ESP000022251_30072023_03082023_B
0A42;2023-08-01;ESP000022251;GTR1;2023-08-01;5:15;5:30;2023-08-01;9:30;10:30;ESP000022251_30072023_03082023_B
0A42;2023-08-01;ESP000022251;GTR6;2023-08-01;8:30;8:45;2023-08-02;6:35;8:20;ESP000022251_30072023_03082023_B
0A42;2023-08-02;ESP000022251;GTR1;2023-08-02;5:30;5:45;2023-08-02;9:15;10:20;ESP000022251_30072023_03082023_B
0A42;2023-08-03;ESP000022251;GTR6;2023-08-03;5:45;6:00;2023-08-03;7:20;8:40;ESP000022251_30072023_03082023_B
0A42;2023-08-03;ESP000022251;GTR1;2023-08-03;6:30;6:45;2023-08-03;9:25;10:00;ESP000022251_30072023_03082023_B
0A42;2023-08-07;ESP000022251;GTR6;2023-08-07;5:20;5:40;2023-08-07;7:25;9:25;ESP000022251_07082023_07082023_OB
0A42;2023-08-07;ESP000022251;GTR1;2023-08-07;5:45;6:00;2023-08-07;9:30;10:00;ESP000022251_07082023_07082023_OB
0A70;2023-08-06;ESP000004365;GTR6;2023-08-06;7:30;8:00;2023-08-07;6:30;7:00;ESP000004365_06082023_16082023_B
0A70;2023-08-07;ESP000004365;GTR1;2023-08-07;5:20;6:00;2023-08-07;7:30;8:30;ESP000004365_06082023_16082023_B
0A70;2023-08-08;ESP000004365;GTR1;2023-08-08;4:45;5:15;2023-08-08;7:30;8:15;ESP000004365_06082023_16082023_B
0A70;2023-08-08;ESP000004365;GTR6;2023-08-08;7:00;7:20;2023-08-09;6:30;7:00;ESP000004365_06082023_16082023_B
0A70;2023-08-09;ESP000004365;GTR1;2023-08-09;5:00;5:30;2023-08-09;7:15;8:20;ESP000004365_06082023_16082023_B
0A70;2023-08-13;ESP000004365;GTR6;2023-08-13;7:15;7:40;2023-08-14;6:30;7:15;ESP000004365_06082023_16082023_B
0A70;2023-08-14;ESP000004365;GTR1;2023-08-14;5:00;5:50;2023-08-14;7:25;9:00;ESP000004365_06082023_16082023_B
0A70;2023-08-15;ESP000004365;GTR1;2023-08-15;5:15;5:30;2023-08-15;7:30;8:40;ESP000004365_06082023_16082023_B
0A70;2023-08-16;ESP000004365;GTR1;2023-08-16;5:00;5:30;2023-08-16;7:00;9:30;ESP000004365_06082023_16082023_B
0A63;2023-08-02;ESP000012916;GTR1;2023-08-02;5:00;5:30;2023-08-02;7:15;8:00;ESP000012916_02082023_02082023_B
0C9C;2023-08-02;ESP000025326;GTR1;2023-08-02;5:15;6:00;2023-08-02;7:00;12:00;ESP000025326_03082023_03082023_B
0CB3;2023-08-03;ESP000022324;GTR1;2023-08-03;4:50;5:40;2023-08-03;7:30;12:00;ESP000022324_03082023_16082023_B
0CB3;2023-08-07;ESP000022324;GTR6;2023-08-03;8:45;9:10;2023-08-07;7:10;7:35;ESP000022324_03082023_16082023_B
0CB3;2023-08-07;ESP000022324;GTR1;2023-08-07;5:00;6:00;2023-08-07;;;ESP000022324_03082023_16082023_B
0CB3;2023-08-09;ESP000022324;GTR1;2023-08-09;5:30;6:00;2023-08-09;7:45;12:00;ESP000022324_09082023_09082023_OB
0CB3;2023-08-10;ESP000022324;GTR1;2023-08-10;4:30;5:30;2023-08-10;8:00;12:25;ESP000022324_03082023_16082023_B
0CB3;2023-08-10;ESP000022324;GTR6;2023-08-10;7:20;7:45;2023-08-14;7:35;8:05;ESP000022324_03082023_16082023_B
0CB3;2023-08-11;ESP000022324;GTR1;2023-08-11;5:00;5:30;2023-08-11;8:10;11:20;ESP000022324_03082023_16082023_B
0CB3;2023-08-14;ESP000022324;GTR1;2023-08-14;4:45;5:40;2023-08-14;8:20;11:45;ESP000022324_03082023_16082023_B
0CB3;2023-08-16;ESP000022324;GTR1;2023-08-16;5:00;5:40;2023-08-16;8:10;11:20;ESP000022324_03082023_16082023_B
0A49;2023-08-06;ESP000027526;GTR1;2023-08-06;;;2023-08-06;8:10;8:20;ESP000027526_06082023_17082023_B
0A49;2023-08-07;ESP000027526;GTR1;2023-08-07;5:20;5:40;2023-08-07;9:00;10:40;ESP000027526_06082023_17082023_B
0A49;2023-08-08;ESP000027526;GTR1;2023-08-08;5:25;5:45;2023-08-08;8:50;10:40;ESP000027526_06082023_17082023_B
0A49;2023-08-09;ESP000027526;GTR1;2023-08-09;5:00;5:20;2023-08-09;9:00;11:00;ESP000027526_06082023_17082023_B
0A49;2023-08-10;ESP000027526;LHP8;2023-08-10;6:30;15:00;2023-08-10;;;ESP000027526_06082023_17082023_B
0A49;2023-08-11;ESP000027526;LHP8;2023-08-11;7:00;13:30;2023-08-11;;;ESP000027526_06082023_17082023_B
0A49;2023-08-16;ESP000027526;LHP8;2023-08-16;7:00;14:00;2023-08-16;;;ESP000027526_06082023_17082023_B
0A49;2023-08-17;ESP000027526;LHP8;2023-08-17;5:30;14:00;2023-08-17;;;ESP000027526_06082023_17082023_B
0F76;2023-08-07;ESP000027478;GTR1;2023-08-07;5:20;6:30;2023-08-07;8:50;9:50;ESP000027478_07082023_18082023_B
0F76;2023-08-08;ESP000027478;GTR1;2023-08-08;5:25;5:35;2023-08-08;7:10;10:25;ESP000027478_07082023_18082023_B
0F76;2023-08-09;ESP000027478;GTR1;2023-08-09;5:00;5:30;2023-08-09;8:30;10:30;ESP000027478_07082023_18082023_B
0F76;2023-08-10;ESP000027478;GTR1;2023-08-10;5:00;5:20;2023-08-10;8:10;10:30;ESP000027478_07082023_18082023_B
0F76;2023-08-11;ESP000027478;GTR1;2023-08-11;;;2023-08-11;8:00;8:40;ESP000027478_07082023_18082023_B
0F76;2023-08-16;ESP000027478;GTR1;2023-08-16;5:00;5:50;2023-08-16;8:10;10:30;ESP000027478_16082023_16082023_OB
0F76;2023-08-17;ESP000027478;GTR1;2023-08-17;5:00;5:25;2023-08-17;8:00;10:30;ESP000027478_07082023_18082023_B
0F76;2023-08-18;ESP000027478;GTR1;2023-08-18;5:00;6:20;2023-08-18;8:10;10:00;ESP000027478_07082023_18082023_B
0F94;2023-08-04;ESP000025802;GTR1;2023-08-04;;;2023-08-04;7:40;8:50;ESP000025802_04082023_18082023_B
0F94;2023-08-07;ESP000025802;GTR1;2023-08-07;5:00;5:30;2023-08-07;8:20;9:50;ESP000025802_04082023_18082023_B
0F94;2023-08-08;ESP000025802;GTR1;2023-08-08;5:40;6:20;2023-08-08;7:45;9:45;ESP000025802_04082023_18082023_B
0F94;2023-08-09;ESP000025802;GTR1;2023-08-09;5:15;6:00;2023-08-09;8:30;11:00;ESP000025802_04082023_18082023_B
0F94;2023-08-10;ESP000025802;GTR1;2023-08-10;5:25;5:35;2023-08-10;8:10;9:45;ESP000025802_04082023_18082023_B
0F94;2023-08-11;ESP000025802;GTR1;2023-08-11;;;2023-08-11;7:30;8:40;ESP000025802_04082023_18082023_B
0F94;2023-08-16;ESP000025802;GTR1;2023-08-16;5:15;6:10;2023-08-16;8:00;10:15;ESP000025802_04082023_18082023_B
0F94;2023-08-17;ESP000025802;GTR1;2023-08-17;5:25;5:40;2023-08-17;8:00;9:30;ESP000025802_04082023_18082023_B
0F94;2023-08-18;ESP000025802;GTR1;2023-08-18;5:40;6:15;2023-08-18;8:20;10:00;ESP000025802_04082023_18082023_B
0A73;2023-08-03;ESP000004411;GTR6;2023-08-03;;;2023-08-03;8:00;9:45;ESP000004411_03082023_10082023_B
0A73;2023-08-03;ESP000004411;GTR1;2023-08-03;13:00;13:20;2023-08-03;21:20;22:00;ESP000004411_03082023_10082023_B
0A73;2023-08-03;ESP000004411;GTR6;2023-08-03;20:40;21:00;2023-08-04;10:30;11:00;ESP000004411_03082023_10082023_B
0A73;2023-08-04;ESP000004411;GTR1;2023-08-04;9:50;10:15;2023-08-04;18:00;19:00;ESP000004411_03082023_10082023_B
0A73;2023-08-06;ESP000004411;GTR6;2023-08-06;10:00;10:30;2023-08-07;9:00;9:30;ESP000004411_03082023_10082023_B
0A73;2023-08-07;ESP000004411;GTR1;2023-08-07;13:10;13:25;2023-08-07;18:20;19:00;ESP000004411_03082023_10082023_B
0A73;2023-08-08;ESP000004411;GTR1;2023-08-08;6:20;6:45;2023-08-08;12:00;12:40;ESP000004411_03082023_10082023_B
0A73;2023-08-08;ESP000004411;GTR1;2023-08-08;11:30;11:45;2023-08-08;19:55;20:40;ESP000004411_03082023_10082023_B
0A73;2023-08-09;ESP000004411;GTR6;2023-08-08;7:45;8:05;2023-08-09;8:30;10:20;ESP000004411_03082023_10082023_B
0A73;2023-08-10;ESP000004411;GTR6;2023-08-10;3:35;4:15;2023-08-10;;;ESP000004411_03082023_10082023_B
0A6E;2023-08-10;ESP000005919;GTR1;2023-08-10;5:00;6:00;2023-08-10;7:35;9:25;ESP000005919_11082023_11082023_B
0A6E;2023-08-10;ESP000005919;GTR6;2023-08-10;;;2023-08-10;6:20;7:10;ESP000005919_11082023_11082023_B
0A60;2023-08-09;ESP000023322;GTR1;2023-08-09;5:20;5:50;2023-08-09;8:30;9:50;ESP000023322_09082023_23082023_B
0A60;2023-08-09;ESP000023322;GTR4;2023-08-09;;;2023-08-09;6:00;8:20;ESP000023322_09082023_23082023_B
0A60;2023-08-10;ESP000023322;GTR1;2023-08-10;5:45;6:15;2023-08-10;10:05;11:30;ESP000023322_09082023_23082023_B
0A60;2023-08-10;ESP000023322;GTR4;2023-08-10;;;2023-08-10;6:45;10:00;ESP000023322_09082023_23082023_B
0A60;2023-08-16;ESP000023322;GTR4;2023-08-16;6:10;6:30;2023-08-18;6:20;7:33;ESP000023322_09082023_23082023_B
0A60;2023-08-17;ESP000023322;GTR1;2023-08-17;5:20;6:30;2023-08-17;8:00;12:10;ESP000023322_09082023_23082023_B
0A60;2023-08-18;ESP000023322;GTR1;2023-08-18;5:25;6:00;2023-08-18;9:20;11:30;ESP000023322_09082023_23082023_B
0A60;2023-08-21;ESP000023322;GTR1;2023-08-21;5:20;6:30;2023-08-21;8:10;12:40;ESP000023322_09082023_23082023_B
